time,T1,T2,T3,T4,T5,T6,T7,T8,T9,Rx1Tx1,Rx2Tx1,Rx1Tx2,Rx2Tx2,acc x,acc y,acc z,gyro x,gyro y,gyro z,mag x,mag y,mag z
2291.673953771591,,,,,,,,,,,,,,-0.02569580078125,-0.0032958984375,0.96661376953125,2.88604736328125,0.83740234375,-0.366363525390625,,,
2291.690760612488,,,,,,,,,,,,,,-0.06719970703125,0.01690673828125,0.86822509765625,2.878570556640625,0.814971923828125,-0.381317138671875,,,
2291.707567214966,,,,,,,,,,,,,,-0.04339599609375,0.018310546875,0.9735107421875,2.968292236328125,0.82244873046875,-0.291595458984375,,,
2291.7243740558624,,,,,,,,,,,,,,0.001220703125,-0.00921630859375,0.95880126953125,2.9010009765625,0.844879150390625,-0.321502685546875,,,
2291.7411806583405,,,,,,,,,,,,,,-0.02581787109375,0.008544921875,0.97314453125,2.79632568359375,0.82244873046875,-0.426177978515625,,,
2291.757987499237,,,,,,,,,,,,,,0.01361083984375,0.01361083984375,0.93133544921875,2.848663330078125,0.829925537109375,-0.351409912109375,,,
2291.774794101715,,,,,,,,,,,,,,-0.010009765625,0.007080078125,0.92596435546875,2.953338623046875,0.814971923828125,-0.2691650390625,,,
2291.7916009426117,,,,,,,,,,,,,,-0.05169677734375,-0.00958251953125,0.98016357421875,2.923431396484375,0.814971923828125,-0.336456298828125,,,
2291.8084075450897,,,,,,,,,,,,,,-0.00164794921875,0.0084228515625,0.94451904296875,2.818756103515625,0.83740234375,-0.3887939453125,,,
2291.8252143859863,,,,,,,,,,,,,,0.03424072265625,0.0,0.92095947265625,2.953338623046875,0.82244873046875,-0.34393310546875,,,
2291.8420209884644,,,,,,,,,,,,,,0.00469970703125,0.00537109375,0.97186279296875,3.00567626953125,0.829925537109375,-0.25421142578125,,,
2291.858827829361,,,,,,,,,,,,,,-0.04705810546875,0.01055908203125,0.98095703125,2.87109375,0.859832763671875,-0.37384033203125,,,
2291.875634431839,,,,,,,,,,,,,,-0.0224609375,-6.103515625e-05,0.9249267578125,2.82623291015625,0.82244873046875,-0.35888671875,,,
2291.8924412727356,,,,,,,,,,,,,,-0.06573486328125,6.103515625e-05,0.95947265625,2.88604736328125,0.85235595703125,-0.306549072265625,,,
2291.9092478752136,,,,,,,,,,,,,,-0.0289306640625,-0.00067138671875,0.91680908203125,2.983245849609375,0.8074951171875,-0.291595458984375,,,
2292.2064917087555,,,,,,,,,,,,,,,,,,,,0.1839599609375,-0.9622802734375,-0.697265625
2292.690702199936,,,,,,,,,,,,,,-0.0478515625,0.00439453125,0.9481201171875,2.863616943359375,0.85235595703125,-0.411224365234375,,,
2292.7075090408325,,,,,,,,,,,,,,-0.029052734375,-0.0076904296875,0.9708251953125,2.893524169921875,0.814971923828125,-0.351409912109375,,,
2292.7243156433105,,,,,,,,,,,,,,-0.0753173828125,0.00469970703125,0.956787109375,2.998199462890625,0.814971923828125,-0.28411865234375,,,
2292.741122484207,,,,,,,,,,,,,,-0.04412841796875,0.00103759765625,0.9384765625,2.938385009765625,0.85235595703125,-0.3289794921875,,,
2292.757929086685,,,,,,,,,,,,,,-0.0845947265625,0.004150390625,0.9432373046875,2.8411865234375,0.82244873046875,-0.418701171875,,,
2292.774735927582,,,,,,,,,,,,,,-0.08355712890625,0.00054931640625,0.9415283203125,2.878570556640625,0.82244873046875,-0.37384033203125,,,
2292.79154253006,,,,,,,,,,,,,,-0.0841064453125,0.00152587890625,0.9359130859375,2.9608154296875,0.8074951171875,-0.291595458984375,,,
2292.8083493709564,,,,,,,,,,,,,,-0.0057373046875,-0.00640869140625,0.91070556640625,2.94586181640625,0.8074951171875,-0.396270751953125,,,
2292.8251559734344,,,,,,,,,,,,,,-0.03729248046875,0.0020751953125,0.9388427734375,2.811279296875,0.8074951171875,-0.396270751953125,,,
2292.841962814331,,,,,,,,,,,,,,-0.03271484375,-0.00164794921875,0.97686767578125,2.923431396484375,0.83740234375,-0.336456298828125,,,
2292.858769416809,,,,,,,,,,,,,,-0.11773681640625,0.0340576171875,0.9993896484375,2.94586181640625,0.844879150390625,-0.2691650390625,,,
2292.8755762577057,,,,,,,,,,,,,,-0.0657958984375,0.0067138671875,0.98126220703125,2.893524169921875,0.83740234375,-0.381317138671875,,,
2292.8923828601837,,,,,,,,,,,,,,-0.01678466796875,0.01666259765625,0.95172119140625,2.863616943359375,0.83740234375,-0.321502685546875,,,
2292.9091897010803,,,,,,,,,,,,,,-0.044677734375,-0.02545166015625,0.93975830078125,2.893524169921875,0.83740234375,-0.2691650390625,,,
